brand_name,category,homepage_url,event_url,confidence,reason,status
"무신사 스탠다드","패션","https://www.musinsa.com/standard","","low","링크 부족","skip"
"나이키","패션","https://www.nike.com/kr","https://www.nike.com/kr/w/37eefz7yfb","medium","2026 설날 SALE이 현재 진행 중인 주요 프로모션 페이지로 보임. 다만 단일 이벤트 페이지이며, 전체 이벤트/프로모션 목록 페이지는 명확하지 않음","found_ai"
"아디다스","패션","https://www.adidas.co.kr","https://www.adidas.co.kr/flashsale","high","flashsale 페이지가 가장 포괄적인 이벤트/프로모션 목록 페이지이며, '설맞이 특별 세일' 등 현재 진행 중인 프로모션을 안내하는 메인 이벤트 페이지","found_ai"
"노스페이스","패션","https://www.thenorthfacekorea.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"지오다노","패션","https://www.giordano.co.kr","https://www.giordano.co.kr/shop/big_section.php?cno1=2673","high","키워드 매치: 'EVENT'","found_quick"
"에이블리","패션","https://a-bly.com","","low","링크 부족","skip"
"29CM","패션","https://www.29cm.co.kr","https://www.29cm.co.kr/store/event","high","키워드 매치: 'Event'","found_quick"
"타이틀리스트","패션","https://www.titleist.co.kr","https://www.titleist.co.kr/2026-custom-promotion","high","키워드 매치: '프로모션 자세히 보기'","found_quick"
"PXG","패션","https://www.pxg.co.kr","https://www.pxg.co.kr/promotion/251203/lightning.asp","high","키워드 매치: '2026 LIGHTNING'","found_quick"
"칸투칸","패션","https://www.kantukan.co.kr","https://www.kantukan.co.kr/board/gallery/list.html?board_no=8","high","키워드 매치: '이벤트'","found_quick"
"스타일난다","패션","https://stylenanda.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전, 특가 등의 페이지를 찾을 수 없음. 모두 상품 카테고리, 컬렉션, 매장 위치 등의 링크만 존재","not_found"
"엘가노벰버","패션","https://elganovember.com","","high","이벤트/프로모션 목록 페이지 없음. SALE 카테고리는 할인 상품 목록이며, 별도의 이벤트/프로모션 전용 페이지가 제공되지 않음","not_found"
"파타고니아","패션","https://www.patagonia.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"블랙야크","패션","https://www.blackyak.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지가 없음. 모두 상품 카테고리 및 상품 목록 페이지임","not_found"
"K2","패션","https://www.k2.co.kr","","none","접속 실패: net::ERR_CERT_AUTHORITY_INVALID at https://www.k2.co.kr","error"
"네파","패션","https://www.nepa.co.kr","https://www.nplus.co.kr/promotion/list.asp","high","키워드 매치: 'EVENT'","found_quick"
"데상트","패션","https://www.descentekorea.co.kr","https://dk-on.com/event","high","키워드 매치: '기획전/이벤트'","found_quick"
"안다르","패션","https://andar.co.kr","https://andar.co.kr/product/list.html?cate_no=2028","high","네비게이션의 '기간할인' 메뉴가 할인/프로모션 상품을 모아놓은 목록 페이지로 보임","found_ai"
"젝시믹스","패션","https://www.xexymix.com","https://www.xexymix.com/board/board.html?code=xexymix_image3","high","키워드 매치: '이벤트'","found_quick"
"내셔널지오그래픽","패션","https://www.nstationmall.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"뉴발란스","패션","https://www.nbkorea.com","https://www.nbkorea.com/nbnyou/searchEventList.action","high","키워드 매치: '이벤트'","found_quick"
"휠라","패션","https://www.fila.co.kr","https://www.fila.co.kr/event/view.asp?seq=1335","high","키워드 매치: 'RITMO SLEEK

자세히 보기'","found_quick"
"빈폴","패션","https://www.ssfshop.com/beanpole","https://www.ssfshop.com/special/list?promtFlterBrndId=BPBR","high","키워드 매치: '기획전'","found_quick"
"헤지스","패션","https://www.lfmall.co.kr/hazzys","","low","링크 부족","skip"
"자라","패션","https://www.zara.com/kr","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등의 목록 페이지가 없음. 개별 상품 카테고리 및 신상품, 베스트셀러 페이지만 존재","not_found"
"H&M","패션","https://www2.hm.com/ko_kr","","low","링크 부족","skip"
"스파오","패션","https://spao.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"탑텐","패션","https://topten10mall.com","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://topten10mall.com","error"
"유니클로","패션","https://www.uniqlo.com/kr","","low","JSON 파싱 실패","not_found"
"시스템","패션","https://www.thehandsome.com/system","https://www.thehandsome.com/ko/MK/event","high","키워드 매치: '이벤트
이벤트'","found_quick"
"타임","패션","https://www.thehandsome.com/time","https://www.thehandsome.com/ko/MK/event","high","키워드 매치: '이벤트
이벤트'","found_quick"
"젠틀몬스터","패션","https://www.gentlemonster.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등의 페이지가 없음. 모두 상품 카테고리 및 컬렉션 페이지임","not_found"
"아모레퍼시픽","뷰티","https://www.amorepacific.com","","high","제공된 링크 중 이벤트, 프로모션, 할인, 혜택, 기획전 등의 목록 페이지가 없음. 상품 카테고리, 개별 상품, 회사정보 페이지만 존재","not_found"
"LG생활건강","뷰티","https://www.lghnh.com","","low","링크 부족","skip"
"라운드랩","뷰티","https://roundlab.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"메디힐","뷰티","https://www.mediheal.com","","high","제공된 링크 목록에서 이벤트, 프로모션, 할인, 혜택, 기획전 등의 페이지를 찾을 수 없습니다. 상품 카테고리, 제품 상세, 고객 정보 페이지만 있으며, 이벤트 목록 페이지는 존재하지 않는 것으로 보입니다.","not_found"
"토리든","뷰티","https://www.torriden.com","https://www.torriden.com/board/list.php?bdId=event&period=current","high","키워드 매치: 'EVENT'","found_quick"
"닥터지","뷰티","https://www.dr-g.co.kr","https://www.dr-g.co.kr/event","high","키워드 매치: '이벤트'","found_quick"
"클리오","뷰티","https://www.clubclio.co.kr","https://clubclio.co.kr/event/eventList","high","키워드 매치: '이벤트'","found_quick"
"이니스프리","뷰티","https://www.innisfree.com","https://www.innisfree.com/kr/ko/ca/event/103242","high","키워드 매치: '무료배송'","found_quick"
"에뛰드","뷰티","https://www.etude.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등 관련 페이지가 없음. 모두 상품 카테고리 및 신제품 페이지만 포함됨","not_found"
"설화수","뷰티","https://www.sulwhasoo.com","","low","설화수 공식 홈페이지에서 별도의 이벤트/프로모션 목록 페이지를 찾을 수 없음. 바디의 AMORE MALL 링크는 외부 쇼핑몰의 개별 이벤트 상세페이지이며, 홈페이지 네비게이션에 '이벤트', '프로모션', '혜택' 등의 메뉴가 없음.","not_found"
"헤라","뷰티","https://www.hera.com","","high","제공된 링크 목록에 이벤트, 프로모션, 할인, 혜택, 기획전 등의 키워드를 포함한 페이지가 없습니다. 제품, 브랜드 스토리, 매장찾기 등의 링크만 있습니다.","not_found"
"아이소이","뷰티","https://www.isoi.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"마녀공장","뷰티","https://www.manyo.co.kr","https://www.manyo.co.kr/board/list.php?bdId=event&period=current","high","키워드 매치: '이벤트'","found_quick"
"스킨푸드","뷰티","https://www.skinfood.com","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"가히","뷰티","https://kahi.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"넘버즈인","뷰티","https://numbuzin.com","https://numbuzin.com/board/event/read.html?no=15178&board_no=5","high","키워드 매치: '신규 회원 혜택'","found_quick"
"롬앤","뷰티","https://romand.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"바닐라코","뷰티","https://www.banila.com","https://www.banila.com/board/gallery/list.html?board_no=8","high","키워드 매치: '이벤트'","found_quick"
"아누아","뷰티","https://anua.kr","https://anua.kr/board/membership.html","high","키워드 매치: '신규회원혜택'","found_quick"
"구달","뷰티","https://www.goodal.co.kr","","none","접속 실패: Navigation timeout of 20000 ms exceeded","error"
"아토팜","뷰티","https://www.atopalm.co.kr","","none","접속 실패: net::ERR_CERT_COMMON_NAME_INVALID at https://www.atopalm.co.kr","error"
"궁중비책","뷰티","https://www.goongbe.com","https://www.goongbe.com/board/%EC%9D%B4%EB%B2%A4%ED%8A%B8/8/?board_no=8&category_no=1","high","키워드 매치: '이벤트'","found_quick"
